Geneid	Chr	Start	End	Strand	Length	logFC	logCPM	F	PValue	FDR
5340	YNR073C	NC_001146.8	774792	776300	-	1509	8.21601066798495	10.2406601985221	278.249139424697	1.10602730814518e-09	1.69563224405868e-07
5912	YOR384W	NC_001147.6	1061564	1063648	+	2085	-7.02556347235678	4.43184767242705	440.938530599573	1.11932904603338e-09	1.69563224405868e-07
3499	YJR152W	NC_001142.9	719666	721297	+	1632	-2.14900167891288	9.98378223746786	270.961518621418	1.23790653507199e-09	1.82591213923118e-07
6101	YPL111W	NC_001148.4	339944	340945	+	1002	2.61731602359907	7.06360089502368	267.22035394466	1.34308704763311e-09	1.92745173161879e-07
3737	YKL001C	NC_001143.9	438777	439385	-	609	2.68051748756127	7.39258792798973	265.613933080571	1.39080726440747e-09	1.92745173161879e-07
3746	YKR009C	NC_001143.9	454352	457054	-	2703	-2.00037053469886	6.58279336287975	265.015530233318	1.40991116853471e-09	1.92745173161879e-07
3771	YKR034W	NC_001143.9	506898	507707	+	810	-2.56181549176579	8.07487489651148	261.833676144792	1.51018242772379e-09	2.00476044982811e-07
3437	YJR095W	NC_001142.9	609773	610741	+	969	3.99896385479251	6.44538147944463	261.602794676313	1.5379964200287e-09	2.00476044982811e-07
4328	YLR377C	NC_001144.5	873746	874792	-	1047	3.73988061433585	8.46697421967613	255.680491533241	1.73330855704737e-09	2.20799874142057e-07
5914	YOR386W	NC_001147.6	1066839	1068536	+	1698	-7.58908551505853	5.06689196521664	397.698368008277	2.02550521101898e-09	2.52287926839142e-07
1325	YDR345C	NC_001136.10	1162957	1164660	-	1704	-2.37036550340368	10.6191618218217	247.164548027092	2.10642644532186e-09	2.56663483174544e-07
2322	YGR060W	NC_001139.9	610564	611493	+	930	-1.98985245680338	8.72319514648569	244.391452027508	2.24863779887246e-09	2.6599516790981e-07
6388	YPR167C	NC_001148.4	876847	877632	-	786	3.11088832135518	7.75068510012499	243.881236764366	2.27792472072629e-09	2.6599516790981e-07
3086	YIR019C	NC_001141.2	389572	393675	-	4104	4.19390564668656	12.8074689190503	236.988467177077	2.68444529700199e-09	3.07067671218289e-07
5522	YOL002C	NC_001147.6	323411	324364	-	954	-2.4669151353691	7.31339341264195	233.541023221263	2.9240931635913e-09	3.27790843638585e-07
165	YBL048W	NC_001134.8	127299	127610	+	312	-2.23113605601162	7.36085487941345	230.41448832279	3.15870031916373e-09	3.47147358606132e-07
2595	YHL028W	NC_001140.6	48763	50580	+	1818	-2.34498482396889	7.05007145667535	223.077198179944	3.80582835075107e-09	4.08209794549438e-07
6106	YPL106C	NC_001148.4	350194	352275	-	2082	2.54161669719364	10.2576765475754	222.492032789302	3.8599677272293e-09	4.08209794549438e-07
5334	YNR067C	NC_001146.8	755746	759099	-	3354	2.33787530587607	7.53274086963915	221.108341892594	4.00266775170067e-09	4.10344612514204e-07
4066	YLR152C	NC_001144.5	442958	444688	-	1731	-1.91814314061663	6.9721654543288	220.895493656835	4.02657514509924e-09	4.10344612514204e-07
1763	YER132C	NC_001137.3	425188	430449	-	5262	-1.78868527445268	7.13935238279061	219.683291749731	4.15497806506747e-09	4.14299363165792e-07
1196	YDR223W	NC_001136.10	912099	913502	+	1404	-2.0482449238388	6.26281086634259	219.04517337314	4.23001652019185e-09	4.14299363165792e-07
2328	YGR067C	NC_001139.9	622372	624786	-	2415	2.72859739160235	6.00076485092332	218.632558124121	4.28712989538197e-09	4.14299363165792e-07
1515	YDR536W	NC_001136.10	1508005	1509714	+	1710	2.72933760554074	7.71066163901077	216.122851672966	4.5631444885457e-09	4.33498726411842e-07
1391	YDR406W	NC_001136.10	1279210	1283799	+	4590	-2.09457797977728	8.9636168064363	213.223118091253	4.92802803654426e-09	4.52103675397909e-07
5877	YOR348C	NC_001147.6	986899	988782	-	1884	-2.47191038949478	9.11307163071666	212.608739086646	5.01042169926248e-09	4.52103675397909e-07
2572	YHL050C	NC_001140.6;NC_001140.6	445;2671	1897;3311	-;-	2094	-2.62482984170404	4.92577894418204	213.31923495532	5.01399592154713e-09	4.52103675397909e-07
4316	YLR364W	NC_001144.5	854062	854391	+	330	3.37064389587083	4.72233541504649	214.77659722075	5.08162917931638e-09	4.52103675397909e-07
650	YCR032W	NC_001135.5	179520	186023	+	6504	-2.20354958395864	6.85881385329434	209.652332425151	5.43531759540773e-09	4.76014923785317e-07
4400	YLR446W	NC_001144.5	1025214	1026515	+	1302	-2.14961185423311	5.93540637076927	208.659666535614	5.59534483340826e-09	4.82490889096205e-07
5432	YOL086C	NC_001147.6	159548	160594	-	1047	-1.93786263724719	9.71445171499793	206.639601775048	5.89768571104387e-09	4.97928723742901e-07
6009	YPL201C	NC_001148.4	169770	171155	-	1386	4.28167131729518	5.88668245717155	208.237732298667	5.95204718836295e-09	4.97928723742901e-07
31	YAL038W	NC_001133.9	71786	73288	+	1503	-2.06910492245216	10.7152986957571	205.10250680323	6.15515240251841e-09	5.07347488472289e-07
6252	YPR036W-A	NC_001148.4	645950	646153	+	204	3.69549917929016	10.5012242629926	203.223542816922	6.48822144643798e-09	5.27050452279491e-07
5546	YOR020C	NC_001147.6	370524	370844	-	321	1.97758724710404	8.7813995246062	200.737587986865	6.96182804521865e-09	5.57443517049294e-07
60	YAL012W	NC_001133.9	130799	131983	+	1185	2.61795905917308	6.38804269369659	198.127460540336	7.51850119992779e-09	5.93538017261905e-07
1689	YER065C	NC_001137.3	285241	286914	-	1674	1.75777920586672	7.57306730810215	192.490439594546	8.84742929409627e-09	6.88747794352911e-07
3484	YJR138W	NC_001142.9	684567	689321	+	4755	-1.59835120384864	7.72787470415941	191.668640466503	9.0661354586982e-09	6.89058345475444e-07
3936	YLR024C	NC_001144.5	187663	193281	-	5619	-1.5805661019981	7.69515574434282	191.27705234975	9.17183080096184e-09	6.89058345475444e-07
5913	YOR385W	NC_001147.6	1065043	1065915	+	873	-5.89213032529468	4.07176489647052	294.179181789113	9.22022763794081e-09	6.89058345475444e-07
3308	YJL034W	NC_001142.9	381327	383375	+	2049	2.28862585401213	10.4888250794845	186.690339544024	1.05294115859418e-08	7.76544104463205e-07
4297	YLR346C	NC_001144.5	822287	822592	-	306	2.68139103245763	5.5092097198145	185.658822855245	1.09485996051952e-08	7.96972737495054e-07
2903	YIL155C	NC_001141.2	51759	53708	-	1950	3.46882751844783	8.66054789147956	184.723995507543	1.11876079679093e-08	8.03930034104252e-07
4565	YMR002W	NC_001145.3	272193	272663	+	471	2.01534989682637	8.57931376324111	181.370131395439	1.24133058590953e-08	8.80716194180114e-07
5915	YOR387C	NC_001147.6	1069621	1070241	-	621	-6.48791819097062	3.14546211656016	174.252860179026	1.27882200851611e-08	8.959746697166e-07
4249	YLR303W	NC_001144.5	732542	733876	+	1335	2.89428085753599	9.88384980865301	178.593434472172	1.35493361146877e-08	9.30621837009201e-07
538	YCL074W	NC_001135.5	2824	3750	+	927	-2.67979118648503	4.16799805998425	180.106652357738	1.39084108289805e-08	9.30621837009201e-07
300	YBR072W	NC_001134.8	382030	382674	+	645	4.09871844530604	11.040051094574	177.57889941665	1.39942493169463e-08	9.30621837009201e-07
2991	YIL071C	NC_001141.2	228660	229994	-	1335	-1.9709090696502	6.20266030461105	177.474566529946	1.40749417972881e-08	9.30621837009201e-07
5908	YOR381W	NC_001147.6	1055545	1057680	+	2136	-2.76513133034608	5.15719305788213	178.528212003801	1.41129092142341e-08	9.30621837009201e-07
2412	YGR144W	NC_001139.9	780399	781379	+	981	-2.59657824617129	5.02198158111542	174.665397105572	1.56990897034777e-08	1.02317904404643e-06
4176	YLR231C	NC_001144.5	605758	607119	-	1362	-2.79103353937724	5.3185456524266	172.59966273553	1.66814171989811e-08	1.06239365903241e-06
3214	YJL116C	NC_001142.9	193860	194873	-	1014	-3.34836625172949	9.80169448989054	171.896706560909	1.68301859054608e-08	1.06239365903241e-06
1734	YER103W	NC_001137.3	364589	366517	+	1929	3.51877449472023	10.1938597935415	171.827178011111	1.68694086804433e-08	1.06239365903241e-06
544	YCL064C	NC_001135.5	15798	16880	-	1083	-2.28441509116159	6.27908436044877	171.133611066872	1.73146290181426e-08	1.07831661829655e-06
5688	YOR161C	NC_001147.6	636939	638558	-	1620	-2.30153226456432	6.53763424289075	169.287488925339	1.83777044103195e-08	1.13194541999825e-06
3464	YJR120W	NC_001142.9	647126	647476	+	351	2.28976243857864	7.79100201330936	168.78819456314	1.86692342488106e-08	1.13740280396286e-06
4923	YMR320W	NC_001145.3	916746	917051	+	306	-5.56665182200203	3.96292322857979	252.650590709158	1.90459236755594e-08	1.14787529248936e-06
2313	YGR052W	NC_001139.9	593596	594705	+	1110	-2.81522103199284	5.41986749573036	168.163085403813	1.93238134092315e-08	1.15045270412844e-06
6212	YPR002W	NC_001148.4	558385	559935	+	1551	2.63712518252394	5.93308917780031	167.739225248714	1.94991983750583e-08	1.15045270412844e-06
4972	YNL289W	NC_001146.8	87897	88736	+	840	3.09588167514226	4.66907450702241	166.463015127796	2.12840812536909e-08	1.24267995236393e-06
5620	YOR092W	NC_001147.6	495127	496968	+	1842	-1.70833261625725	7.95847298341022	163.897535143693	2.2041815746596e-08	1.27365337381104e-06
727	YDL243C	NC_001136.10	17577	18566	-	990	2.7199837372299	8.94732077305768	163.32627413544	2.24810177975784e-08	1.27486500523301e-06
2132	YGL117W	NC_001139.9	288512	289309	+	798	3.4250114029056	7.44453228595609	163.175643513836	2.26274398767156e-08	1.27486500523301e-06
5945	YPL262W	NC_001148.4	47336	48802	+	1467	2.14739387264839	8.78199199413535	162.229205196205	2.33495985240906e-08	1.27486500523301e-06
5131	YNL129W	NC_001146.8	381480	382202	+	723	-2.09933612094536	5.55489783927417	162.33039095637	2.33561915938732e-08	1.27486500523301e-06
6250	YPR035W	NC_001148.4	642208	643320	+	1113	-2.26869072399772	9.44020835709793	162.191157072248	2.33796063599977e-08	1.27486500523301e-06
1115	YDR146C	NC_001136.10	748613	750742	-	2130	4.21889376609401	4.21496898720934	152.443918139878	2.34274925136484e-08	1.27486500523301e-06
2738	YHR092C	NC_001140.6	287081	288811	-	1731	-2.05819611903757	6.99746587853784	161.118477647924	2.42895917769771e-08	1.30906886451881e-06
3497	YJR151C	NC_001142.9	712255	715740	-	3486	-1.8287994240082	5.98770560568889	160.540879146659	2.48162350267635e-08	1.32471426023819e-06
4707	YMR122W-A	NC_001145.3	511315	511569	+	255	2.72879164733081	8.34819377505186	159.128762328913	2.60388155520418e-08	1.35526695804059e-06
4180	YLR237W	NC_001144.5	612367	614163	+	1797	-1.51145169253775	6.90877419667053	159.060786477108	2.61079515920586e-08	1.35526695804059e-06
692	YCR079W	NC_001135.5	252845	254173	+	1329	-2.08688587846652	6.29279831875305	159.084575020616	2.6113975284279e-08	1.35526695804059e-06
1214	YDR242W	NC_001136.10	946807	948456	+	1650	-1.58942113506834	6.71875114575631	156.588050686741	2.85238766755394e-08	1.46675530978347e-06
4202	YLR257W	NC_001144.5	658826	659791	+	966	-1.50507746700159	9.01825492880483	155.914158238278	2.92047431579501e-08	1.48811441273009e-06
4869	YMR271C	NC_001145.3	806865	807548	-	684	-1.72672371302786	6.67331081153405	153.03805468122	3.24610439115486e-08	1.63174599520328e-06
3140	YJL193W	NC_001142.9	71366	72574	+	1209	-2.39028756123395	5.33638661146906	153.2220506288	3.26058075758729e-08	1.63174599520328e-06
5233	YNL030W	NC_001146.8	576727	577038	+	312	1.99594700553163	8.61156223907648	152.14748049608	3.35163707661107e-08	1.6624713110093e-06
6137	YPL075W	NC_001148.4;NC_001148.4	412254;413013	412261;415362	+;+	2358	-1.96195295214447	6.91059393471018	151.520808952001	3.43246266016151e-08	1.68762747457941e-06
3579	YKL152C	NC_001143.9	163642	164385	-	744	-1.7579816849665	10.7031238048386	151.024510707667	3.49371859966972e-08	1.69480468765441e-06
560	YCL048W-A	NC_001135.5	41488	41727	+	240	-3.47793665765154	3.9723770938115	151.733446275206	3.50753512520806e-08	1.69480468765441e-06
4112	YLR164W	NC_001144.5	493883	494389	+	507	-2.72706647310853	5.39653053633941	150.714680303605	3.56512918568512e-08	1.70791017827052e-06
4468	YML087C	NC_001145.3	94431	95369	-	939	2.13593364190484	7.7824185282184	149.896514792833	3.64506142706499e-08	1.73140417785587e-06
4159	YLR216C	NC_001144.5	572096	573211	-	1116	2.5700108714532	7.69186020928045	147.912257136496	3.92861082973343e-08	1.85040871434083e-06
732	YDL238C	NC_001136.10	28985	30454	-	1470	-2.30566689357955	5.59126451541548	147.251839604979	4.05019602229758e-08	1.89177905874816e-06
11	YAL061W	NC_001133.9	33448	34701	+	1254	-1.38346493877363	7.25875828774999	146.351882832105	4.16900932348512e-08	1.91996958369017e-06
3098	YIR028W	NC_001141.2	408468	410375	+	1908	-2.0549126876258	5.23660332736217	146.250191365041	4.20796294822146e-08	1.91996958369017e-06
4667	YMR088C	NC_001145.3	443414	445102	-	1689	-2.84602169562393	8.48311950119228	146.08055844417	4.21331416224604e-08	1.91996958369017e-06
5299	YNR034W-A	NC_001146.8	692561	692857	+	297	5.63159131819817	12.3825523156399	145.567499476669	4.29562967781928e-08	1.92951320079451e-06
2848	YHR193C	NC_001140.6	487712	488236	-	525	1.52999596191221	8.00516290265402	145.522731035245	4.30310704905108e-08	1.92951320079451e-06
5193	YNL065W	NC_001146.8	503724	505484	+	1761	-1.96608723695934	6.02794577981855	143.812194847192	4.6075563195018e-08	2.04963120403235e-06
3351	YJR010W	NC_001142.9	456239	457774	+	1536	2.22125236210091	6.96591139853835	142.975351322509	4.75378848332202e-08	2.09803027157637e-06
200	YBL015W	NC_001134.8	194122	195702	+	1581	1.92147427842408	8.30453711437267	141.469604725909	5.0403947606849e-08	2.20388402516341e-06
3436	YJR094W-A	NC_001142.9;NC_001142.9	608305;608582	608306;608858	+;+	279	2.07000625888715	7.18966314537875	141.320923333455	5.07227545488099e-08	2.20388402516341e-06
2591	YHL032C	NC_001140.6	36379	38508	-	2130	2.65771261547345	7.98771795675564	140.724121410125	5.19274932500068e-08	2.23887384358683e-06
922	YDL039C	NC_001136.10	381985	384081	-	2097	3.04947015457394	6.07373287665214	140.455648239446	5.31799994378391e-08	2.27537325838999e-06
619	YCR011C	NC_001135.5	133724	136873	-	3150	-1.36004363046209	8.11183079991427	139.831792893091	5.37941746757496e-08	2.2842147655877e-06
603	YCL002C	NC_001135.5;NC_001135.5	110808;111634	111557;111675	-;-	792	-1.53886566383435	5.62121423437299	139.526140411643	5.46300809092838e-08	2.30226769546267e-06
2722	YHR078W	NC_001140.6	256360	258018	+	1659	-1.49366993678988	6.38840087672637	139.221957560095	5.51697761265443e-08	2.30766115812896e-06
1875	YFL033C	NC_001138.5	69115	74427	-	5313	-1.30396593229355	7.95785977068188	136.551697535662	6.14178007303884e-08	2.53329824902332e-06
2490	YGR211W	NC_001139.9	915241	916701	+	1461	1.7039185959979	7.56938259167134	136.385742502352	6.18415007395498e-08	2.53329824902332e-06
4450	YML104C	NC_001145.3	58939	62322	-	3384	-1.52757938180449	5.92034880530098	136.145535362797	6.25485408288611e-08	2.53329824902332e-06
5936	YPL271W	NC_001148.4	30079	30267	+	189	2.18749607863104	10.4955136550212	135.981401980261	6.28605962319751e-08	2.53329824902332e-06
3720	YKL016C	NC_001143.9	407465	407989	-	525	1.6799235498665	9.81271153882297	135.976379911037	6.2873590280347e-08	2.53329824902332e-06
590	YCL018W	NC_001135.5	91324	92418	+	1095	-2.42651767278507	7.80404752223483	135.831704341097	6.32759598328752e-08	2.53329824902332e-06
5376	YOL138C	NC_001147.6	61325	65350	-	4026	-1.50377292360102	7.22680055202445	134.935022115999	6.56507908711497e-08	2.59870023016156e-06
3769	YKR031C	NC_001143.9	501344	506395	-	5052	-1.75821284952538	7.89171444255535	134.844800229995	6.58831120590073e-08	2.59870023016156e-06
4255	YLR307C-A	NC_001144.5	746848	747111	-	264	3.93677376343308	3.8260881913689	115.803218497895	6.63004697436401e-08	2.59870023016156e-06
6327	YPR115W	NC_001148.4	754877	758128	+	3252	-1.44941765263226	7.67462222754299	134.162068426804	6.77756954121722e-08	2.63807481100851e-06
5878	YOR349W	NC_001147.6	989789	992833	+	3045	-1.57131158165295	6.27751757737789	133.017939870979	7.11530456895697e-08	2.75043324889682e-06
4390	YLR436C	NC_001144.5	1007421	1011245	-	3825	-1.58126734967319	7.39452385750995	132.135397462811	7.37802847165079e-08	2.83245545093169e-06
798	YDL168W	NC_001136.10	159604	160764	+	1161	1.55858030167382	9.40827213369316	131.745490077384	7.49774858384261e-08	2.85883542941754e-06
4354	YLR403W	NC_001144.5	925568	927619	+	2052	-1.83770903594304	7.23302598602121	131.36298152155	7.62294559840791e-08	2.88081720009373e-06
1997	YGL251C	NC_001139.9;NC_001139.9	27921;31579	31426;31636	-;-	3564	-2.03656443020511	5.26729076327267	131.274025501497	7.69057543228996e-08	2.88081720009373e-06
5315	YNCN0018W	NC_001146.8	716120	716284	+	165	-3.20211067637777	5.79630908236082	132.335263693001	7.70959107964423e-08	2.88081720009373e-06
5911	YOR383C	NC_001147.6	1060441	1061055	-	615	-6.81871713743189	2.86747048706318	126.2116169748	7.8316376609144e-08	2.90704166155134e-06
4480	YML075C	NC_001145.3	115734	118898	-	3165	-2.46069233630347	7.22633923393435	130.385273340696	7.94944985069132e-08	2.93135963244242e-06
5155	YNL101W	NC_001146.8	434999	437140	+	2142	-2.15199291679854	8.14839150157436	129.650632537709	8.19928347508268e-08	3.00372443646003e-06
1388	YDR403W	NC_001136.10	1274602	1276212	+	1611	1.98467260363531	6.50724095131031	128.571977348326	8.6360189237789e-08	3.14317441998576e-06
2777	YHR131C	NC_001140.6	365340	367892	-	2553	-1.80284124914874	6.28179397157886	128.149866958221	8.75621410931195e-08	3.16636000533506e-06
4904	YMR303C	NC_001145.3	873291	874337	-	1047	-1.81655214135501	6.3054299219449	127.930909961788	8.84478149271827e-08	3.1684513365775e-06
3435	YNCJ0028C	NC_001142.9	605936	607424	-	1489	1.73902770803282	5.73839464880992	127.805657806199	8.89740204770292e-08	3.1684513365775e-06
3958	YLR044C	NC_001144.5	232390	234081	-	1692	-1.90319253075662	9.93815442921995	127.660884894228	8.93158449918368e-08	3.1684513365775e-06
1303	YDR322C-A	NC_001136.10	1112003	1112293	-	291	1.53830453688302	8.70483134196688	126.570349729377	9.3670059589352e-08	3.30201688049257e-06
3807	YKR069W	NC_001143.9	571612	573393	+	1782	1.75192296609096	6.89894526933293	126.286690034378	9.49147148980807e-08	3.32498110627339e-06
3814	YKR075C	NC_001143.9	579827	580750	-	924	1.73088607640756	8.0034218994882	125.943765885976	9.63257073780107e-08	3.35345086865683e-06
3852	YLL062C	NC_001144.5	16639	17613	-	975	2.00537078787022	5.33752040374646	125.853812241657	9.70327775682231e-08	3.35721431030797e-06
3895	YLL016W	NC_001144.5	112847	115993	+	3147	-1.42092653409855	6.22272695058631	125.352105582774	9.89280165008425e-08	3.40178854286639e-06
1527	YEL072W	NC_001137.3	13720	14415	+	696	-4.16246359282585	5.32111640782396	177.207155882485	1.02193153521245e-07	3.49263796028402e-06
3514	YKL217W	NC_001143.9	22234	24084	+	1851	1.85289472478053	7.28079935263636	124.364000499465	1.03287912112936e-07	3.50865907510915e-06
4990	YNL277W	NC_001146.8	117349	118809	+	1461	2.06834125849944	8.48542449164788	123.817487704244	1.05822107314153e-07	3.56391724210972e-06
4701	YMR118C	NC_001145.3	502144	502734	-	591	-1.52093013271312	6.8163345514169	123.756346457564	1.06186294278737e-07	3.56391724210972e-06
5462	YOL055C	NC_001147.6	224420	226075	-	1656	-1.66401807425009	6.42583513790222	123.4306810253	1.07756847622521e-07	3.5951019697871e-06
2599	YHL024W	NC_001140.6	56649	58790	+	2142	1.67228727113432	6.77139753255362	122.546941063375	1.12091810030652e-07	3.71760115515862e-06
3097	YIR027C	NC_001141.2	406260	407642	-	1383	-2.04623755579071	4.61017324217624	122.285752796322	1.16529720926172e-07	3.84205344583056e-06
3083	YIR017C	NC_001141.2	383556	384119	-	564	1.96171454145395	6.32377439529695	121.475036607828	1.17749234000316e-07	3.85955822556593e-06
3916	YLR005W	NC_001144.5	160049	161434	+	1386	-1.65569514761536	7.09621040787703	120.855026594363	1.21029001261189e-07	3.94399739574979e-06
2895	YIL162W	NC_001141.2	37385	38983	+	1599	1.65103463272332	6.15960215270714	119.403668673099	1.29449753877732e-07	4.19402237274386e-06
5836	YOR306C	NC_001147.6	889867	891432	-	1566	-1.57086600602489	6.79170677001298	119.00596838316	1.31789308600462e-07	4.23206770453713e-06
4757	YMR170C	NC_001145.3	601562	603082	-	1521	-2.32505638032608	6.03991367837017	118.993649250771	1.32134138857092e-07	4.23206770453713e-06
4938	YNL327W	NC_001146.8	24048	27173	+	3126	1.68767548082856	6.66970343812156	118.388005308431	1.35641785642668e-07	4.30944989241323e-06
1537	YEL062W	NC_001137.3	34407	36254	+	1848	-1.48505356937931	5.754179492909	118.140000396087	1.37408170145208e-07	4.30944989241323e-06
4587	YMR015C	NC_001145.3	300869	302485	-	1617	-2.42153571868185	8.72716017359111	118.07289509625	1.37599240076843e-07	4.30944989241323e-06
5526	YOR003W	NC_001147.6	331455	332891	+	1437	-1.84946798082931	6.65678726363314	118.083027770909	1.37625607625686e-07	4.30944989241323e-06
4563	YMR001C	NC_001145.3	269019	271136	-	2118	1.68642555190297	5.52932557877291	117.960120506655	1.38600308367864e-07	4.31585960223265e-06
4157	YLR214W	NC_001144.5	568567	570627	+	2061	-1.59541735205075	5.48921253148878	117.685692045201	1.40503999071001e-07	4.35096638007162e-06
3533	YKL197C	NC_001143.9	70734	73865	-	3132	-1.78274391245523	5.57516888863223	117.307073929231	1.4300068566113e-07	4.40394968753095e-06
3672	YKL062W	NC_001143.9	323228	325120	+	1893	-1.23484310212687	8.49449609979656	117.09188871083	1.44035669503296e-07	4.4104316869541e-06
1673	YER052C	NC_001137.3	256375	257958	-	1584	1.6467781468166	7.79561147725413	116.984054452742	1.4478491175728e-07	4.4104316869541e-06
2523	YGR243W	NC_001139.9	977336	977776	+	441	2.08236728904832	8.26871092408648	116.479843224407	1.48270657053404e-07	4.47482838146976e-06
1951	YFR030W	NC_001138.5	213312	216419	+	3108	1.96957521812167	9.03421678135467	116.263998227988	1.49794771174948e-07	4.47482838146976e-06
6217	YPR006C	NC_001148.4	567269	568996	-	1728	2.09285214464	6.39657699054942	116.189314536517	1.50467667945857e-07	4.47482838146976e-06
906	YDL055C	NC_001136.10	355674	356759	-	1086	1.4949728597829	8.52362346431801	116.144724599648	1.50629563305216e-07	4.47482838146976e-06
