Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
4593	YMR021C	NC_001145.3	317165	318418	-	1254	-15.5717418683358	-13.9685368689964	5.85156209862213	4364.12527814074	5.59223289478462e-18	2.59223735026723e-16
3050	YIL013C	NC_001141.2	328207	332442	-	4236	-14.3239482025998	-14.1678901010057	6.01437468384697	4302.38076684009	6.06076296957599e-18	2.59223735026723e-16
2023	YGL226W	NC_001139.9	73340	73711	+	372	-13.50648104188	-14.0537228406077	5.94976246734338	4300.4742179189	6.07747092743175e-18	2.59223735026723e-16
3234	YJL100W	NC_001142.9	237263	239086	+	1824	-13.3775004793023	-14.4449181234607	6.12488099196862	4294.35765285665	6.12741821160871e-18	2.59223735026723e-16
4875	YMR275C	NC_001145.3	815651	818581	-	2931	-14.5310300836287	-14.2778130382858	5.88149925244824	4279.27337353397	6.26461401065542e-18	2.59223735026723e-16
1356	YDR373W	NC_001136.10	1222759	1223331	+	573	-14.2904342565632	-13.6500642033227	5.96741407596084	4272.57374107593	6.32094774517695e-18	2.59223735026723e-16
5032	YNL232W	NC_001146.8	214923	215801	+	879	-13.888026669869	-14.1145830287576	5.98041064016431	4265.65121898718	6.38077890172454e-18	2.59223735026723e-16
3213	YJL117W	NC_001142.9	192531	193466	+	936	-13.0185511487749	-13.578524369624	6.59777982835848	4257.70533938027	6.44265733224135e-18	2.59223735026723e-16
603	YCL002C	NC_001135.5;NC_001135.5	110808;111634	111557;111675	-;-	792	-15.7160037786513	-14.5356684677036	5.62121423437299	4254.00069046694	6.53847521632751e-18	2.59223735026723e-16
2801	YHR150W	NC_001140.6	397251	398990	+	1740	-14.7511968476149	-14.8979049512449	5.57663449424731	4247.47547362937	6.56629052209997e-18	2.59223735026723e-16
3985	YLR072W	NC_001144.5	278862	280943	+	2082	-14.4202963097109	-14.8674839667981	5.52810757603879	4242.83775518046	6.60550013184165e-18	2.59223735026723e-16
4339	YLR387C	NC_001144.5	896374	897672	-	1299	-12.2766401133803	-12.8631046122058	7.21915513049421	4237.31251814724	6.62761515175556e-18	2.59223735026723e-16
2748	YHR103W	NC_001140.6	320414	322972	+	2559	-12.6032595294319	-13.4793590521465	6.96546837374802	4236.65055580239	6.63644621651268e-18	2.59223735026723e-16
2119	YGL129C	NC_001139.9	267723	269075	-	1353	-13.5204800041825	-13.36739128017	6.38399037120411	4229.94135596281	6.70577636938005e-18	2.59223735026723e-16
2015	YGL233W	NC_001139.9	59122	61854	+	2733	-13.6752752380351	-13.9699028403762	6.10886624667526	4218.6174413579	6.81807826014293e-18	2.59223735026723e-16
6294	YPR083W	NC_001148.4	704854	706593	+	1740	-14.1159165276826	-13.2911022546778	6.24686873727076	4214.0886046356	6.86342814930823e-18	2.59223735026723e-16
2283	YGR028W	NC_001139.9	542203	543291	+	1089	-13.2272613433934	-12.6363994608789	6.89055953469618	4190.34504106497	7.09022006924877e-18	2.59223735026723e-16
2843	YHR188C	NC_001140.6	482005	483837	-	1833	-14.0475537033119	-14.2396137333669	5.79499682677152	4170.72639341639	7.31121066876371e-18	2.59223735026723e-16
886	YDL077C	NC_001136.10	316971	320120	-	3150	-14.168356283241	-14.194314377682	5.91893485955784	4162.04331269345	7.40160073368693e-18	2.59223735026723e-16
5773	YOR245C	NC_001147.6	794076	795332	-	1257	-12.5335807669368	-12.9593505735092	7.42269462048172	4154.45215155111	7.46324356730223e-18	2.59223735026723e-16
5747	YOR219C	NC_001147.6	752214	755009	-	2796	-13.3908325307652	-13.2030036806265	6.82717899112937	4152.91680308566	7.48721096701952e-18	2.59223735026723e-16
985	YDR027C	NC_001136.10	494649	497318	-	2670	-13.0774694135023	-13.3931933055765	6.92200429859604	4146.47493273182	7.55505165762529e-18	2.59223735026723e-16
1424	YDR444W	NC_001136.10	1350290	1352353	+	2064	-13.5932639548464	-13.9096673436912	6.40208316369074	4145.27437168183	7.57374266712915e-18	2.59223735026723e-16
2117	YGL131C	NC_001139.9	261648	265859	-	4212	-13.90898337668	-13.5153256912575	6.76702008012694	4144.23481369206	7.58502770456326e-18	2.59223735026723e-16
5653	YOR127W	NC_001147.6	561170	564193	+	3024	-14.0063191098454	-14.1910135957367	6.23289072978834	4143.02739079769	7.60506229831893e-18	2.59223735026723e-16
5761	YOR233W	NC_001147.6	775846	778248	+	2403	-14.4711961748245	-13.8453033896059	6.18373883464335	4140.70284933993	7.63325199314928e-18	2.59223735026723e-16
1930	YFR014C	NC_001138.5	172537	173877	-	1341	-12.8456512946602	-13.2857470709803	6.80240199412851	4133.58485342542	7.69898407841968e-18	2.59223735026723e-16
1375	YDR389W	NC_001136.10	1252537	1254501	+	1965	-13.9160672255451	-13.5469309456231	6.37788341096782	4131.58444673254	7.72820967630919e-18	2.59223735026723e-16
5511	YOL013C	NC_001147.6	301380	303035	-	1656	-13.4117937640573	-13.5270139883454	6.43311012557311	4127.82842112529	7.76753391506685e-18	2.59223735026723e-16
4375	YLR420W	NC_001144.5	963785	964879	+	1095	-14.9735219784112	-14.5158791781754	5.31352238862947	4127.80412613477	7.80429893766852e-18	2.59223735026723e-16
1819	YER175C	NC_001137.3	539464	540363	-	900	-14.0296757044927	-15.1879980753187	5.47140455366615	4125.23202416263	7.83107156992658e-18	2.59223735026723e-16
1584	YEL021W	NC_001137.3	116167	116970	+	804	-14.2835430425101	-14.0711734126938	5.78670078410875	4110.78926341553	7.97765897050985e-18	2.59223735026723e-16
3264	YJL071W	NC_001142.9	306132	307856	+	1725	-14.975030385839	-13.6889610413437	5.65814232058017	4109.91064887413	8.00534173713054e-18	2.59223735026723e-16
5740	YOR211C	NC_001147.6	738924	741569	-	2646	-12.8811290943744	-13.4459094872551	6.68731892203978	4106.17274466738	8.01435493536132e-18	2.59223735026723e-16
3826	YKR087C	NC_001143.9	603195	604232	-	1038	-14.9608798625419	-14.7523012815594	5.28863884305357	4102.10509039569	8.10794543171916e-18	2.59223735026723e-16
3517	YKL214C	NC_001143.9	31082	31693	-	612	-14.4379353470122	-14.6254045905034	5.57986812844271	4094.85979106363	8.17596223408555e-18	2.59223735026723e-16
5905	YOR377W	NC_001147.6	1046226	1047803	+	1578	-13.7715496463645	-13.9578152484547	6.32321672447691	4087.71032574226	8.24281252277133e-18	2.59223735026723e-16
4259	YLR312C	NC_001144.5	757637	758833	-	1197	-12.7709041542138	-13.1655744369335	7.41980036340062	4086.58048593777	8.24470750106984e-18	2.59223735026723e-16
5372	YOL142W	NC_001147.6	55558	56280	+	723	-14.6131700086116	-13.8515204742751	5.67182887543518	4086.23428834314	8.27897998002001e-18	2.59223735026723e-16
4009	YLR097C	NC_001144.5	336231	337265	-	1035	-14.0244113562694	-13.5977088625663	6.45552702236661	4084.41331027933	8.28208222430044e-18	2.59223735026723e-16
4651	YMR074C	NC_001145.3	413036	413473	-	438	-13.2437779338867	-13.9845660635792	6.20408049683652	4084.24217225357	8.28649240962947e-18	2.59223735026723e-16
5713	YOR185C	NC_001147.6	681444	682106	-	663	-12.2895363290259	-13.5144069324883	7.03749720229336	4083.32778108802	8.28679993992998e-18	2.59223735026723e-16
2169	YGL082W	NC_001139.9	355827	356972	+	1146	-13.9383095173103	-14.0724060865034	5.91440430258353	4080.94547563523	8.33252053843268e-18	2.59223735026723e-16
1043	YDR076W	NC_001136.10	598468	599688	+	1221	-15.3222062180301	-14.8957207073029	4.97938745461347	4081.3384316338	8.38237126634432e-18	2.59223735026723e-16
4287	YLR336C	NC_001144.5	799697	802396	-	2700	-13.9889589446373	-13.2913078495465	6.40946963218483	4071.35004358675	8.44321899962805e-18	2.59223735026723e-16
3127	YJL207C	NC_001142.9	41389	47433	-	6045	-12.5501789248256	-12.3451257680354	7.57017632043904	4069.77576109332	8.44790632753496e-18	2.59223735026723e-16
494	YBR260C	NC_001134.8	732639	734639	-	2001	-13.9098067085211	-14.4775893639972	5.80348829507653	4070.18123465716	8.4705932810129e-18	2.59223735026723e-16
5801	YOR274W	NC_001147.6	837674	838960	+	1287	-14.7395971655623	-14.4226093929008	6.4548926123171	4069.702325563	8.47910879399442e-18	2.59223735026723e-16
6065	YPL147W	NC_001148.4	273255	275867	+	2613	-14.104036096016	-14.5362765688369	5.88879458936879	4067.29791854339	8.50577338182388e-18	2.59223735026723e-16
1048	YDR080W	NC_001136.10	604008	606986	+	2979	-13.9092093235873	-14.4116703723963	5.86794481174975	4065.47098969638	8.52754427983441e-18	2.59223735026723e-16
5701	YOR175C	NC_001147.6	659815	661674	-	1860	-13.3784927610268	-13.2564098943625	6.8963020064836	4054.15952624254	8.65365890532755e-18	2.59223735026723e-16
4679	YMR099C	NC_001145.3	463934	464827	-	894	-13.6708248549277	-13.0581647363361	6.67712668778844	4053.35142942499	8.66497215892015e-18	2.59223735026723e-16
4474	YML081W	NC_001145.3	104777	108532	+	3756	-12.4746079524365	-12.5538711263531	7.63605872753887	4051.51384449536	8.67991891339244e-18	2.59223735026723e-16
2118	YGL130W	NC_001139.9	266145	267524	+	1380	-14.9705071878315	-14.0577315991941	5.79164592998914	4051.28459204433	8.7232018460019e-18	2.59223735026723e-16
4724	YMR139W	NC_001145.3	546125	547237	+	1113	-13.3201376146238	-13.5860368382988	6.43600005704657	4048.47355423808	8.73116579991015e-18	2.59223735026723e-16
4325	YLR373C	NC_001144.5	868662	871367	-	2706	-14.1054046476385	-13.8388504396444	6.21622958769244	4039.39672420641	8.85652566630781e-18	2.59223735026723e-16
3049	YIL014W	NC_001141.2	326103	327995	+	1893	-14.1797037489455	-13.8741802543963	6.19211982230758	4039.3500033299	8.85752219631075e-18	2.59223735026723e-16
736	YDL234C	NC_001136.10	34237	36477	-	2241	-12.5300595509618	-12.9489400107869	7.14047342658475	4038.04453604203	8.86015117473758e-18	2.59223735026723e-16
5298	YNR034W	NC_001146.8	690321	691286	+	966	-14.2467740614802	-15.2102643516639	5.48447459288732	4034.49338082936	8.95232680748323e-18	2.59223735026723e-16
1551	YEL050C	NC_001137.3	59670	60851	-	1182	-12.6697564391525	-12.8347914310091	7.03330685148691	4028.28932740458	8.99050300454166e-18	2.59223735026723e-16
2850	YHR195W	NC_001140.6	490747	491712	+	966	-13.5007920549144	-13.6337523844196	6.4701354713239	4026.66735321355	9.01908129536147e-18	2.59223735026723e-16
4444	YML110C	NC_001145.3	50031	50954	-	924	-12.2391353599943	-12.3220633755483	7.47670902821649	4021.69891415022	9.07784862773608e-18	2.59223735026723e-16
2239	YGL013C	NC_001139.9	469092	472298	-	3207	-12.8949908812719	-13.4951012976833	6.96513555612658	4019.61099184944	9.10947494614027e-18	2.59223735026723e-16
2813	YHR161C	NC_001140.6	420373	422286	-	1914	-12.9977924747226	-13.5575978183701	6.86372454983517	4019.07841112725	9.11893647762337e-18	2.59223735026723e-16
3280	YJL054W	NC_001142.9	334265	335701	+	1437	-13.8212503526669	-13.3139703075981	6.37525533537901	4019.40989050751	9.12148604680359e-18	2.59223735026723e-16
2762	YHR117W	NC_001140.6	342349	344268	+	1920	-13.633979044289	-13.4694289750017	6.24863509198616	4012.88915263066	9.21145965833215e-18	2.59223735026723e-16
1744	YER114C	NC_001137.3	390590	393712	-	3123	-14.1391296501781	-13.6132523362611	6.51570226774135	4010.57893819985	9.24444632015841e-18	2.59223735026723e-16
2459	YGR181W	NC_001139.9	858287	858604	+	318	-14.2861709804737	-14.1989440577763	5.40683501634745	4011.95505965536	9.27091854619345e-18	2.59223735026723e-16
378	YBR150C	NC_001134.8	541209	544493	-	3285	-13.8271981350752	-14.1797624924067	6.20191050026803	4004.66691625021	9.329957491677e-18	2.59223735026723e-16
4189	YLR246W	NC_001144.5	627118	628197	+	1080	-14.4013342818223	-14.1715950543541	6.07740153365569	4004.04578694427	9.34545207650446e-18	2.59223735026723e-16
3918	YLR007W	NC_001144.5	164392	165402	+	1011	-13.6392977052912	-14.2956423593389	6.38197934768993	4000.30663955408	9.38936686438746e-18	2.59223735026723e-16
2969	YIL093C	NC_001141.2	187990	188784	-	795	-14.0230273762053	-14.1402686843743	5.77459692478723	4000.38848733943	9.40155350498459e-18	2.59223735026723e-16
3746	YKR009C	NC_001143.9	454352	457054	-	2703	-13.7488685949379	-15.1056318708361	6.58279336287975	3999.49178474072	9.41762033954157e-18	2.59223735026723e-16
11	YAL061W	NC_001133.9	33448	34701	+	1254	-13.0092411397992	-13.6355718056328	7.25875828774999	3990.65173356536	9.51428146442928e-18	2.59223735026723e-16
1223	YDR251W	NC_001136.10	960614	963106	+	2493	-11.8512145932646	-12.890301281867	7.51661801158019	3987.28424398369	9.5593269916617e-18	2.59223735026723e-16
3277	YJL057C	NC_001142.9	328118	330121	-	2004	-13.5939684834823	-13.6366957254273	6.43229734763009	3985.21653570103	9.59949689100767e-18	2.59223735026723e-16
3930	YLR018C	NC_001144.5	178707	179606	-	900	-14.4411294546567	-14.5310199260869	5.30461329923538	3987.7350853988	9.60535695658059e-18	2.59223735026723e-16
5285	YNR021W	NC_001146.8	668377	669591	+	1215	-13.7461091500836	-13.4924410598097	6.0393619927459	3979.74982150663	9.69504686616161e-18	2.59223735026723e-16
6306	YPR095C	NC_001148.4	721037	724717	-	3681	-13.5121118334618	-13.5329170154094	6.70357102186389	3970.31085853375	9.81770784853466e-18	2.59223735026723e-16
4134	YLR189C	NC_001144.5	530797	534393	-	3597	-12.0258455833068	-12.5335258476137	8.06266888193772	3965.52502421798	9.87510520075048e-18	2.59223735026723e-16
754	YDL214C	NC_001136.10	74446	76545	-	2100	-13.6612241578919	-13.9618903078439	6.18714770282715	3964.20858171624	9.91511131158546e-18	2.59223735026723e-16
3773	YKR036C	NC_001143.9	508702	510633	-	1932	-15.3282767455316	-15.2901418852121	4.83472859056053	3967.40173865145	9.95560191902658e-18	2.59223735026723e-16
1215	YDR243C	NC_001136.10	948518	950284	-	1767	-14.9571587018918	-15.0779968810154	5.51886280424837	3962.24978791378	9.99244170947096e-18	2.59223735026723e-16
3710	YKL024C	NC_001143.9	392526	393140	-	615	-14.5306418477146	-14.5174800481342	5.45423299974579	3960.87374256891	9.99358097888299e-18	2.59223735026723e-16
5851	YOR322C	NC_001147.6	918606	921062	-	2457	-13.7587196418408	-13.7487823844372	6.31988457263763	3945.60100206667	1.01997120932004e-17	2.59223735026723e-16
5371	YOL143C	NC_001147.6	54595	55104	-	510	-13.0350700394461	-13.3204004135188	6.67351241328244	3938.74980565584	1.02986862797431e-17	2.59223735026723e-16
83	YAR019C	NC_001133.9	172211	175135	-	2925	-15.4462367311622	-15.3214908781487	4.97687003942966	3943.36828858483	1.03309021492508e-17	2.59223735026723e-16
4511	YML049C	NC_001145.3	174220	178305	-	4086	-13.2056328576591	-13.3062899061045	6.69069511879894	3936.40930432876	1.03365287512226e-17	2.59223735026723e-16
3911	YLL001W	NC_001144.5	147890	150163	+	2274	-12.7576020328872	-12.9262484699454	6.92956147731454	3934.62065795537	1.03609882641697e-17	2.59223735026723e-16
1587	YEL020C	NC_001137.3	118617	120299	-	1683	-13.7034105277778	-13.5600126128252	6.73934218857271	3933.7736591489	1.03794207146926e-17	2.59223735026723e-16
2311	YGR049W	NC_001139.9	591314	591877	+	564	-16.1362175355996	-15.5995188635558	5.43185376308492	3943.27387993051	1.04334682883503e-17	2.59223735026723e-16
3816	YKR077W	NC_001143.9	583653	584744	+	1092	-14.5154588819033	-14.0830661755186	5.38411886635474	3931.46197417656	1.04755376048328e-17	2.59223735026723e-16
3249	YJL084C	NC_001142.9	274862	278002	-	3141	-12.8255479668904	-13.626090338155	7.15151241446658	3926.77363503451	1.04854650927644e-17	2.59223735026723e-16
6257	YPR042C	NC_001148.4	650435	653662	-	3228	-13.4981749509554	-13.4558317465711	6.99074492241674	3924.5419964491	1.05242822596699e-17	2.59223735026723e-16
71	YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	-13.6639793680782	-13.0931668429427	6.88422952419801	3920.74517776835	1.05870264522882e-17	2.59223735026723e-16
3788	YKR051W	NC_001143.9	530946	532202	+	1257	-14.2856064880128	-14.8572617055414	5.5439907063609	3923.10244115428	1.05872640213138e-17	2.59223735026723e-16
2229	YGL023C	NC_001139.9	450197	452104	-	1908	-13.9899830476872	-14.4283521128249	5.77092784406098	3920.86976523557	1.0609362462851e-17	2.59223735026723e-16
4272	YLR326W	NC_001144.5	782174	782896	+	723	-14.5569493140743	-14.4997331823197	5.37799278484149	3921.3060875308	1.06193919330964e-17	2.59223735026723e-16
3675	YKL059C	NC_001143.9	328118	329443	-	1326	-14.7079508240178	-14.7544001802621	5.4778098525037	3921.04609562005	1.06260655951485e-17	2.59223735026723e-16
2538	YGR257C	NC_001139.9	1006205	1007305	-	1101	-14.8039904668917	-13.7948113980333	6.19254442063515	3918.06048377398	1.06578839390484e-17	2.59223735026723e-16
2596	YHL027W	NC_001140.6	51111	52988	+	1878	-12.5441201445883	-12.8614480939696	7.57123774214336	3912.32800725181	1.07150048378615e-17	2.59223735026723e-16
3912	YLR001C	NC_001144.5	151389	153977	-	2589	-13.2287160744463	-13.1571007720358	7.20091833867314	3910.11447318511	1.07581935406089e-17	2.59223735026723e-16
3721	YKL015W	NC_001143.9	408544	411483	+	2940	-13.7646137835728	-14.1382303284907	6.02890144765871	3910.72301177745	1.07677692039473e-17	2.59223735026723e-16
3281	YJL053W	NC_001142.9	335898	337037	+	1140	-14.3333692382728	-13.6915299302735	6.17219387344749	3907.28684446448	1.08241419136319e-17	2.59223735026723e-16
5753	YOR224C	NC_001147.6	760825	761265	-	441	-14.2702742049301	-13.7733636683841	5.78929337455186	3904.35233748179	1.08829857832226e-17	2.59223735026723e-16
4957	YNL306W	NC_001146.8	58155	58808	+	654	-12.3816014028751	-12.5507277750465	7.36238801956869	3901.31396395045	1.09019424727511e-17	2.59223735026723e-16
4385	YLR430W	NC_001144.5	993434	1000129	+	6696	-12.2500561806381	-12.6187009854146	7.71052489467102	3899.10964358171	1.09353396810641e-17	2.59223735026723e-16
2040	YGL207W	NC_001139.9	98969	102076	+	3108	-11.9603903400065	-12.4039655426957	7.60788839558615	3896.63503058024	1.09784196361355e-17	2.59223735026723e-16
5975	YPL236C	NC_001148.4	101608	102702	-	1095	-15.7860525204669	-14.6227848320047	5.28864507379615	3902.24939268875	1.10106938372859e-17	2.59223735026723e-16
6045	YPL166W	NC_001148.4	237338	237979	+	642	-15.5977767144711	-15.877572904447	4.78367864279512	3902.38700715009	1.10622800062948e-17	2.59223735026723e-16
2631	YHR003C	NC_001140.6	110028	111317	-	1290	-15.1240870356438	-14.3973143442	5.37496954457662	3895.17543493252	1.1073455625835e-17	2.59223735026723e-16
3355	YJR013W	NC_001142.9	460382	461593	+	1212	-14.8153866070106	-14.6270634125058	5.41855420489872	3892.98218088558	1.10981829963229e-17	2.59223735026723e-16
1276	YDR301W	NC_001136.10	1063352	1067425	+	4074	-13.9579892584315	-13.6004187446121	6.35850676942364	3889.62398391382	1.11169185729394e-17	2.59223735026723e-16
1272	YDR297W	NC_001136.10	1056551	1057600	+	1050	-12.0423397496922	-11.9549677681519	7.86459300337379	3884.81365759069	1.11762454811907e-17	2.59223735026723e-16
4500	YML057W	NC_001145.3	160180	161994	+	1815	-12.3963383260922	-13.2883339825154	6.99128974432029	3880.99463034005	1.12550886284058e-17	2.59223735026723e-16
5577	YOR048C	NC_001147.6	418630	421650	-	3021	-12.4992577005686	-12.8843918515423	7.41538007043058	3875.85193460667	1.13371369585019e-17	2.59223735026723e-16
5211	YNL048W	NC_001146.8	538173	539819	+	1647	-14.451789314945	-14.0558107549657	5.89291678064322	3872.00305488355	1.14409890106411e-17	2.59223735026723e-16
4450	YML104C	NC_001145.3	58939	62322	-	3384	-15.0940704661869	-14.4536097299808	5.92034880530098	3870.38542087502	1.14949484343362e-17	2.59223735026723e-16
6321	YPR109W	NC_001148.4	744689	745573	+	885	-13.613732026773	-13.3362215093216	6.36928860730474	3866.52598534023	1.15210452008905e-17	2.59223735026723e-16
5567	YOR039W	NC_001147.6	405768	406544	+	777	-13.4305569634179	-13.0843919847352	6.71054427529067	3866.162268526	1.15221081325262e-17	2.59223735026723e-16
6073	YPL139C	NC_001148.4	289669	291051	-	1383	-14.1474447646899	-14.0152913170872	5.95772261105335	3865.00615247735	1.15599330341841e-17	2.59223735026723e-16
3444	YJR101W	NC_001142.9	618234	619034	+	801	-13.1025864580049	-13.0340750382572	6.61239046285027	3863.82180285467	1.15643102097786e-17	2.59223735026723e-16
2048	YGL201C	NC_001139.9	117854	120907	-	3054	-14.0938285983728	-14.2122429064977	5.84121327105936	3864.37789549098	1.15743239584847e-17	2.59223735026723e-16
2003	YGL246C	NC_001139.9	37617	38780	-	1164	-14.7847985744137	-14.0530834665262	5.52267942977949	3864.27759030377	1.15983136408713e-17	2.59223735026723e-16
5677	YOR150W	NC_001147.6	611999	612490	+	492	-13.226419783622	-13.5744179298362	6.47478728402737	3860.90920043986	1.16180464064892e-17	2.59223735026723e-16
930	YDL028C	NC_001136.10	400997	403291	-	2295	-13.189219138441	-14.2132010843381	6.39345931840664	3860.21245446975	1.16358104242533e-17	2.59223735026723e-16
1093	YDR122W	NC_001136.10	694700	697894	+	3195	-12.8982736857302	-13.1935662591276	7.24154484349627	3858.50233013222	1.16531775388706e-17	2.59223735026723e-16
4439	YML115C	NC_001145.3	40187	41794	-	1608	-13.9478027270231	-13.6679582451472	6.17454147937922	3858.36026470545	1.16755319760245e-17	2.59223735026723e-16
4905	YMR304W	NC_001145.3	874987	878679	+	3693	-11.7654458593315	-12.2449870591058	8.34010138305723	3856.76227242475	1.16760223928142e-17	2.59223735026723e-16
4981	YNL284C	NC_001146.8	103134	104102	-	969	-13.1261927708429	-13.0825283408575	6.65390130257994	3856.98781754884	1.16885181778538e-17	2.59223735026723e-16
5170	YNL087W	NC_001146.8	462411	465947	+	3537	-13.5042199505293	-13.4623934281482	6.84080220191804	3850.90942416586	1.17976823283155e-17	2.59223735026723e-16
1331	YDR350C	NC_001136.10	1176120	1178174	-	2055	-13.9119508300032	-14.1670347850898	5.97970051526953	3850.11433504545	1.18326570579565e-17	2.59223735026723e-16
1685	YER061C	NC_001137.3	278298	279626	-	1329	-14.9394566383545	-14.8910015775424	5.52917313975504	3850.86768031309	1.18591548143439e-17	2.59223735026723e-16
646	YCR030C	NC_001135.5	173826	176438	-	2613	-13.6351117087355	-14.1418241462109	6.21753171533495	3845.93198513326	1.19002506019321e-17	2.59223735026723e-16
752	YDL216C	NC_001136.10	68997	70319	-	1323	-15.8182345066053	-15.3477663195572	4.58555547333587	3854.29221092768	1.19170947976907e-17	2.59223735026723e-16
4527	YML035C	NC_001145.3	206428	208860	-	2433	-12.7775776654944	-13.5514316724037	6.98047430494507	3843.09583147874	1.19407206413201e-17	2.59223735026723e-16
2607	YHL017W	NC_001140.6	70276	71874	+	1599	-14.976539466963	-14.1212069729646	5.64182157111497	3844.48042119761	1.19641829876744e-17	2.59223735026723e-16
1813	YER169W	NC_001137.3	523369	525759	+	2391	-12.4124338586133	-13.6410864141788	7.45895807976927	3839.73888329838	1.19996536542744e-17	2.59223735026723e-16
2469	YGR191W	NC_001139.9	880420	882231	+	1812	-13.9525686772782	-13.8845218478058	6.57808027534838	3840.23912622363	1.20059349814714e-17	2.59223735026723e-16
4180	YLR237W	NC_001144.5	612367	614163	+	1797	-13.6110362279887	-13.8681189087586	6.90877419667053	3836.44076678552	1.20701869137453e-17	2.59223735026723e-16
1259	YDR283C	NC_001136.10	1025070	1030049	-	4980	-12.4107052775077	-12.5433919206774	7.60459622434646	3835.58824049158	1.20728641067701e-17	2.59223735026723e-16
5121	YNL137C	NC_001146.8	368595	370055	-	1461	-12.6636896519852	-12.3638741430646	7.43320034842137	3831.27120145642	1.21578130230862e-17	2.59223735026723e-16
109	YBL105C	NC_001134.8	14241	17696	-	3456	-13.2960938425753	-13.3584390026996	7.06825034170093	3830.59373425214	1.21774510133477e-17	2.59223735026723e-16
3895	YLL016W	NC_001144.5	112847	115993	+	3147	-14.1906359778694	-14.5837204253397	6.22272695058631	3831.98938362973	1.21784672341791e-17	2.59223735026723e-16
3237	YJL097W	NC_001142.9	245591	246244	+	654	-14.5194251353887	-14.7269990599575	5.10477363212567	3834.97846272885	1.21830012579042e-17	2.59223735026723e-16
4399	YLR445W	NC_001144.5;NC_001144.5	1024189;1024655	1024572;1024837	+;+	567	-19.7785421565532	-19.5945673692363	2.87694339779462	1825.81515018925	1.21912522508783e-17	2.59223735026723e-16
2513	YGR233C	NC_001139.9	954674	958210	-	3537	-13.7428829187277	-13.0169809309991	6.96468601710705	3828.16476645759	1.22255030147882e-17	2.59223735026723e-16
3393	YJR053W	NC_001142.9	534027	535751	+	1725	-15.7050803451375	-15.6117336642608	4.44688295434848	3838.53600240573	1.22291703878598e-17	2.59223735026723e-16
6099	YPL112C	NC_001148.4	337436	338620	-	1185	-14.6383076194045	-13.9240106176311	5.77555376914259	3827.75397490298	1.2265811418928e-17	2.59223735026723e-16
616	YCR008W	NC_001135.5	128470	130281	+	1812	-12.9243880849053	-13.2487890000856	7.18559052053633	3824.12487544574	1.22988404230411e-17	2.59223735026723e-16
4862	YMR264W	NC_001145.3	795805	796416	+	612	-14.4028472298218	-13.9510306067202	5.88776744772804	3820.85269841359	1.23939536132971e-17	2.59223735026723e-16
3244	YJL090C	NC_001142.9	262757	265051	-	2295	-14.4191629358362	-14.5064910864022	5.62820803365086	3818.08898098431	1.24566806713097e-17	2.59223735026723e-16
