# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "featureGenecount.txt" "SRR10551657.fastqAligned.out.sorted.bam" "SRR10551658.fastqAligned.out.sorted.bam" "SRR10551659.fastqAligned.out.sorted.bam" "SRR10551660.fastqAligned.out.sorted.bam" "SRR10551661.fastqAligned.out.sorted.bam" "SRR10551662.fastqAligned.out.sorted.bam" "SRR10551663.fastqAligned.out.sorted.bam" "SRR10551664.fastqAligned.out.sorted.bam" "SRR10551665.fastqAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657.fastqAligned.out.sorted.bam	SRR10551658.fastqAligned.out.sorted.bam	SRR10551659.fastqAligned.out.sorted.bam	SRR10551660.fastqAligned.out.sorted.bam	SRR10551661.fastqAligned.out.sorted.bam	SRR10551662.fastqAligned.out.sorted.bam	SRR10551663.fastqAligned.out.sorted.bam	SRR10551664.fastqAligned.out.sorted.bam	SRR10551665.fastqAligned.out.sorted.bam
YAL041W	NC_001133.9	62840	65404	+	2565	42	30	21	106	91	36	99	96	105
YAL040C	NC_001133.9	65778	67520	-	1743	31	16	20	86	82	55	98	93	84
YAL039C	NC_001133.9	68716	69525	-	810	100	63	74	109	130	67	82	113	94
YAL038W	NC_001133.9	71786	73288	+	1503	749	457	590	2457	2735	1359	5314	5419	4787
YAL037C-A	NC_001133.9	73426	73518	-	93	10	4	2	10	17	2	10	17	17
YAL037W	NC_001133.9	74020	74823	+	804	5	7	2	7	12	11	23	42	41
YAL036C	NC_001133.9	75043	76152	-	1110	27	18	14	64	77	47	42	40	39
YAL035W	NC_001133.9	76427	79435	+	3009	577	362	433	515	923	213	289	369	349
YAL034W-A	NC_001133.9	79718	80587	+	870	21	9	15	26	25	9	14	13	21
YAL034C	NC_001133.9	80710	81951	-	1242	440	257	332	164	224	65	203	234	229
YAL033W	NC_001133.9	82706	83227	+	522	19	12	12	50	36	15	27	22	32
YAL032C	NC_001133.9	83335	84474	-	1140	17	22	22	72	61	37	51	68	63
YAL031C	NC_001133.9	84749	87031	-	2283	77	42	49	109	102	71	176	171	159
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	96	85	87	138	147	74	119	137	124
YAL029C	NC_001133.9	87855	92270	-	4416	173	99	110	455	277	170	234	326	312
YAL028W	NC_001133.9	92900	94486	+	1587	23	25	35	9	23	5	25	23	25
YAL027W	NC_001133.9	94687	95472	+	786	29	22	28	36	41	13	37	36	40
YAL026C	NC_001133.9	95630	99697	-	4068	76	37	30	184	150	57	122	140	159
YNCA0001W	NC_001133.9	99305	99868	+	564	1	0	0	1	0	1	2	5	4
YAL025C	NC_001133.9	100225	101145	-	921	40	23	19	129	88	29	24	51	27
YAL024C	NC_001133.9	101565	105872	-	4308	47	23	25	110	73	42	53	68	41
YAL023C	NC_001133.9	106272	108551	-	2280	178	129	143	309	311	229	139	173	141
YAL022C	NC_001133.9	108877	110430	-	1554	31	19	25	48	45	50	57	64	58
YAL021C	NC_001133.9	110846	113359	-	2514	48	31	35	148	83	131	175	156	144
YAL020C	NC_001133.9	113614	114615	-	1002	8	3	9	22	21	33	31	32	24
YAL019W	NC_001133.9	114919	118314	+	3396	92	60	63	210	231	80	138	141	150
YAL018C	NC_001133.9	118564	119541	-	978	4	3	3	1	6	1	0	0	1
YAL017W	NC_001133.9	120225	124295	+	4071	325	227	273	486	366	287	635	662	720
YAL016W	NC_001133.9	124879	126786	+	1908	245	161	189	491	327	281	361	451	374
YAL015C	NC_001133.9	126903	128102	-	1200	28	18	42	35	47	23	30	26	17
YAL014C	NC_001133.9	128252	129019	-	768	33	14	25	31	39	30	29	28	25
YAL013W	NC_001133.9	129270	130487	+	1218	53	40	56	42	68	45	33	45	42
YAL012W	NC_001133.9	130799	131983	+	1185	186	130	145	198	200	141	33	29	27
YAL011W	NC_001133.9	132199	134076	+	1878	98	84	89	46	105	10	37	64	67
YAL010C	NC_001133.9	134184	135665	-	1482	23	13	14	61	55	16	26	31	22
YAL009W	NC_001133.9	135854	136633	+	780	29	11	13	60	52	30	55	45	54
YAL008W	NC_001133.9	136914	137510	+	597	71	54	61	140	99	74	121	151	150
YAL007C	NC_001133.9	137698	138345	-	648	83	56	45	194	160	96	43	30	44
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	1	0	0	1	0	0	0	0	2
YAL005C	NC_001133.9	139503	141431	-	1929	5085	3888	4268	2008	2398	1086	1291	1671	1487
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	284	137	169	750	758	317	403	489	497
YNCA0003W	NC_001133.9	142367	142468	+	102	14	15	15	28	22	33	38	39	33
YAL002W	NC_001133.9	143707	147531	+	3825	73	36	41	77	74	43	131	146	156
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	121	88	87	257	230	103	226	258	269
YAR002W	NC_001133.9	152257	153876	+	1620	41	49	44	130	90	44	91	90	87
YAR002C-A	NC_001133.9	154065	154724	-	660	91	74	71	293	247	172	88	69	98
YAR003W	NC_001133.9	155005	156285	+	1281	17	16	10	130	67	58	71	79	78
YAR007C	NC_001133.9	156754	158619	-	1866	80	75	88	226	131	119	99	121	143
YAR008W	NC_001133.9	158966	159793	+	828	19	12	15	85	57	26	32	59	36
YAR009C	NC_001133.9	160597	164187	-	3591	0	0	0	0	0	0	0	0	0
YAR010C	NC_001133.9	164544	165866	-	1323	1	0	2	0	0	0	1	0	0
YNCA0004W	NC_001133.9	166267	166339	+	73	0	0	0	0	0	0	0	0	0
YAR014C	NC_001133.9	166742	168871	-	2130	46	22	21	162	110	63	97	128	133
YAR015W	NC_001133.9	169375	170295	+	921	83	47	53	390	274	210	149	158	150
YAR018C	NC_001133.9	170396	171703	-	1308	7	14	16	30	37	18	17	15	10
YAR019C	NC_001133.9	172211	175135	-	2925	35	23	28	52	49	23	55	76	76
YAR020C	NC_001133.9	176856	177023	-	168	1	1	2	2	5	3	6	5	6
YAR023C	NC_001133.9	179281	179820	-	540	14	10	11	10	10	16	20	25	18
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	2	0	0	1	0	1	0	0	0
YNCA0006C	NC_001133.9	182522	182603	-	82	0	0	0	0	0	0	0	0	0
YAR027W	NC_001133.9	183770	184477	+	708	27	18	23	103	70	60	3	0	4
YAR028W	NC_001133.9	184892	185596	+	705	6	6	5	17	9	3	1	0	1
YAR029W	NC_001133.9	186321	186545	+	225	5	3	2	13	9	1	0	1	0
YAR031W	NC_001133.9	186836	187732	+	897	0	0	3	3	3	0	0	0	0
YAR033W	NC_001133.9	188107	188811	+	705	0	0	0	3	2	2	0	0	0
YAR035W	NC_001133.9	190193	192256	+	2064	15	11	15	20	26	30	6	0	5
YAR035C-A	NC_001133.9	192337	192417	-	81	6	2	3	0	3	0	0	0	2
YAR042W	NC_001133.9	192619	196185	+	3567	96	67	82	125	156	54	184	238	218
YAR050W	NC_001133.9	203403	208016	+	4614	28	24	26	33	29	20	40	43	30
YAR061W	NC_001133.9	218140	219145	+	1006	0	0	0	0	0	0	0	0	0
YAR064W	NC_001133.9	220198	220497	+	300	1	0	2	1	0	1	1	1	1
YAR066W	NC_001133.9	221049	221660	+	612	0	0	2	1	3	0	1	0	0
YAR068W	NC_001133.9	222406	222891	+	486	1	3	0	4	3	2	1	2	3
YAR071W	NC_001133.9	225460	226863	+	1404	1	2	1	2	5	0	4	2	4
YBL113C	NC_001134.8	280	2658	-	2379	10	4	3	1	2	2	11	11	6
YBL112C	NC_001134.8	2582	2899	-	318	0	0	0	0	0	0	0	0	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	1	0	0	0	0	0	0	1	0
YBL108C-A	NC_001134.8	7605	7733	-	129	0	0	0	0	1	0	0	1	0
YNCB0001W	NC_001134.8	9583	9666	+	84	0	1	0	0	1	0	0	0	0
YBL107C	NC_001134.8	9961	10551	-	591	111	71	58	131	140	36	60	83	83
YBL106C	NC_001134.8	10847	13879	-	3033	101	68	84	56	62	46	95	112	98
YBL105C	NC_001134.8	14241	17696	-	3456	151	112	118	208	157	109	294	343	333
YBL104C	NC_001134.8	18177	21293	-	3117	73	52	52	99	110	42	126	142	128
YBL103C	NC_001134.8	22076	23536	-	1461	114	91	81	143	97	51	65	69	86
YBL102W	NC_001134.8	24098	24745	+	648	89	64	100	97	75	42	58	67	65
YBL101C	NC_001134.8	24946	28299	-	3354	243	162	191	282	191	150	313	341	306
YBL100W-C	NC_001134.8	28427	28546	+	120	49	26	27	1	3	1	3	2	0
YBL100W-B	NC_001134.8	29935	35248	+	5314	21	13	14	31	32	7	54	61	64
YBL100W-A	NC_001134.8	29935	31251	+	1317	0	0	0	0	0	0	0	0	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	0	0	0	0	1	0	1	0
YBL099W	NC_001134.8	37053	38690	+	1638	5207	3600	4090	4604	5318	2269	1940	2016	1909
YBL098W	NC_001134.8	39145	40527	+	1383	61	52	41	108	108	70	61	75	71
YBL097W	NC_001134.8	40831	43095	+	2265	55	22	47	59	70	32	44	70	68
YBL095W	NC_001134.8	43277	44089	+	813	47	32	46	130	108	103	201	223	184
YBL093C	NC_001134.8	44256	44918	-	663	97	48	58	122	118	49	89	110	92
YBL092W	NC_001134.8	45978	46370	+	393	1095	572	584	1619	1257	586	530	669	691
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	65	29	59	39	58	23	58	69	50
YBL091C	NC_001134.8	47363	48628	-	1266	733	500	594	556	641	275	291	366	326
YBL090W	NC_001134.8	48825	49358	+	534	137	104	106	223	191	95	83	98	115
YBL089W	NC_001134.8	49574	50953	+	1380	56	40	37	80	58	48	72	77	84
YBL088C	NC_001134.8	51019	59382	-	8364	175	88	102	255	233	125	301	350	365
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	191	124	112	311	201	177	148	178	157
YBL086C	NC_001134.8	61202	62602	-	1401	253	192	249	122	147	37	100	133	166
YBL085W	NC_001134.8	63876	66818	+	2943	140	105	118	201	205	78	127	156	179
YBL084C	NC_001134.8	67169	69445	-	2277	107	82	58	148	139	38	158	173	190
YBL082C	NC_001134.8	69751	71127	-	1377	40	20	30	80	57	60	90	75	64
YBL081W	NC_001134.8	71866	72972	+	1107	40	23	13	73	53	25	37	45	37
YBL080C	NC_001134.8	73070	74695	-	1626	59	36	33	60	47	32	36	51	43
YBL079W	NC_001134.8	75259	79767	+	4509	158	100	110	247	176	142	284	325	336
YBL078C	NC_001134.8	80378	80731	-	354	380	230	248	214	286	66	166	199	229
YBL076C	NC_001134.8	81043	84261	-	3219	360	209	229	791	400	496	390	426	446
YBL075C	NC_001134.8	84499	86448	-	1950	336	209	267	238	232	128	301	399	376
YBL074C	NC_001134.8	86722	87789	-	1068	19	22	15	35	23	22	30	36	35
YNCB0003W	NC_001134.8	88190	88277	+	88	2	7	7	16	26	11	11	7	13
YBL072C	NC_001134.8	88523	89125	-	603	264	159	157	773	409	369	261	331	333
YBL071C-B	NC_001134.8	89458	89556	-	99	1	3	2	7	5	3	2	2	3
YBL071W-A	NC_001134.8	89978	90226	+	249	16	8	6	36	25	9	24	8	10
YBL071C	NC_001134.8	90223	90531	-	309	34	16	23	30	42	8	23	33	23
YBL069W	NC_001134.8	90741	92030	+	1290	25	14	13	29	25	21	18	10	11
YBL068W	NC_001134.8	92414	93394	+	981	38	17	21	98	52	44	40	44	29
YBL067C	NC_001134.8	93639	95882	-	2244	165	122	119	230	248	110	227	275	263
YBL066C	NC_001134.8	96669	100115	-	3447	252	162	235	247	249	163	206	225	250
YBL064C	NC_001134.8	100371	101156	-	786	2549	1882	2183	1880	1646	860	966	1181	1091
YBL063W	NC_001134.8	101886	105221	+	3336	97	79	65	108	116	30	67	90	98
YBL061C	NC_001134.8	105316	107406	-	2091	77	57	45	106	82	63	75	83	97
YBL060W	NC_001134.8	107932	109995	+	2064	105	64	73	81	73	27	73	79	93
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	324	203	209	310	328	88	85	95	108
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	102	52	62	99	95	35	14	37	28
YBL058W	NC_001134.8	111437	112708	+	1272	394	289	322	271	262	106	181	230	221
YBL057C	NC_001134.8	112801	113427	-	627	71	55	77	76	74	52	55	39	47
YBL056W	NC_001134.8	113762	115168	+	1407	164	107	120	306	182	169	260	330	266
YBL055C	NC_001134.8	115573	116829	-	1257	33	25	20	83	56	37	57	94	70
YBL054W	NC_001134.8	117589	119166	+	1578	22	14	13	56	38	28	56	44	55
YBL052C	NC_001134.8	119379	121874	-	2496	108	88	96	91	151	18	74	82	98
YBL051C	NC_001134.8	122753	124759	-	2007	327	194	264	311	321	111	375	414	425
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	239	171	196	340	364	161	268	372	348
YBL049W	NC_001134.8	126828	127244	+	417	136	73	84	197	152	121	849	1049	964
YBL048W	NC_001134.8	127299	127610	+	312	166	93	139	82	102	59	515	565	516
YBL047C	NC_001134.8	127895	132040	-	4146	534	394	465	396	431	233	465	562	597
YBL046W	NC_001134.8	132424	133749	+	1326	49	24	39	52	50	25	76	78	80
YBL045C	NC_001134.8	134143	135516	-	1374	1804	1226	1346	1590	1490	787	880	984	1024
YBL044W	NC_001134.8	135998	136366	+	369	2	1	2	1	0	0	0	0	2
YBL043W	NC_001134.8	136688	137461	+	774	230	165	154	313	328	120	95	96	66
YBL042C	NC_001134.8	138341	140260	-	1920	78	46	39	153	92	74	133	137	131
YBL041W	NC_001134.8	141247	141972	+	726	835	644	786	685	565	305	278	379	374
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	129	99	123	216	236	106	71	95	91
YBL039W-B	NC_001134.8	143393	143572	+	180	130	112	88	68	67	24	35	43	51
YBL039C	NC_001134.8	143989	145728	-	1740	38	24	15	137	43	62	55	58	64
YBL038W	NC_001134.8	146187	146885	+	699	367	246	265	317	378	102	107	143	141
YBL037W	NC_001134.8	147209	150286	+	3078	31	22	26	61	36	36	54	53	52
YBL036C	NC_001134.8	150447	151220	-	774	92	74	82	220	198	89	102	155	166
YBL035C	NC_001134.8	151493	153610	-	2118	48	29	28	47	57	33	29	46	39
YBL034C	NC_001134.8	153848	158389	-	4542	91	72	50	167	131	68	109	124	129
YBL033C	NC_001134.8	158656	159693	-	1038	287	200	239	298	410	147	166	184	177
YBL032W	NC_001134.8	160184	161329	+	1146	96	86	75	72	70	29	62	56	46
YBL031W	NC_001134.8	161699	162715	+	1017	9	12	9	17	11	5	2	6	5
YBL030C	NC_001134.8	163041	163997	-	957	958	612	733	1100	1114	640	386	390	420
YBL029C-A	NC_001134.8	164488	164772	-	285	262	169	171	123	201	53	144	208	195
YBL029W	NC_001134.8	166134	167264	+	1131	524	328	349	417	568	105	559	705	826
YBL028C	NC_001134.8	167518	167838	-	321	137	92	92	136	161	33	39	36	58
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	481	285	290	1424	1005	623	532	647	617
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	92	59	64	112	103	23	35	56	76
YBL025W	NC_001134.8	171481	171918	+	438	18	4	9	41	28	22	24	33	25
YBL024W	NC_001134.8	172534	174588	+	2055	131	71	68	172	137	75	70	87	92
YBL023C	NC_001134.8	174920	177526	-	2607	34	21	33	85	48	58	52	51	56
YBL022C	NC_001134.8	177874	181275	-	3402	622	421	517	420	387	186	387	440	487
YBL021C	NC_001134.8	181660	182094	-	435	56	49	48	107	117	58	30	45	39
YBL020W	NC_001134.8	182401	184125	+	1725	130	93	83	280	208	153	156	163	150
YBL019W	NC_001134.8	184353	185915	+	1563	23	29	28	77	56	32	108	119	120
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	68	42	30	95	72	41	36	55	49
YBL017C	NC_001134.8	186844	191583	-	4740	440	304	316	745	473	427	583	677	634
YBL016W	NC_001134.8	192451	193512	+	1062	52	29	25	48	49	26	32	26	31
YBL015W	NC_001134.8	194122	195702	+	1581	838	576	719	531	641	282	179	167	154
YNCB0004W	NC_001134.8	197494	197567	+	74	2	1	3	0	1	0	0	0	0
YNCB0005C	NC_001134.8	197629	197699	-	71	3	2	0	1	0	0	0	1	1
YBL014C	NC_001134.8	199064	201748	-	2685	54	31	33	94	70	55	108	102	115
YBL013W	NC_001134.8	202056	203261	+	1206	9	2	12	4	6	4	10	10	7
YBL011W	NC_001134.8	203538	205817	+	2280	223	160	178	74	159	56	127	146	121
YBL010C	NC_001134.8	206107	206949	-	843	31	17	30	48	40	17	31	27	42
YBL009W	NC_001134.8	207194	209224	+	2031	29	39	27	29	20	18	23	19	9
YBL008W-A	NC_001134.8	209409	209648	+	240	1	4	2	1	2	0	2	0	2
YBL008W	NC_001134.8	209653	212175	+	2523	47	35	26	100	67	61	69	80	75
YBL007C	NC_001134.8	212632	216366	-	3735	442	300	329	242	300	153	371	380	410
YBL006C	NC_001134.8	216587	217129	-	543	95	74	78	173	141	94	73	104	100
YBL005W	NC_001134.8	217470	220400	+	2931	64	41	43	89	71	53	72	98	91
YBL005W-B	NC_001134.8	221330	226598	+	5269	0	0	0	0	0	0	0	0	0
YBL005W-A	NC_001134.8	221330	222652	+	1323	0	0	0	0	0	0	0	0	0
YNCB0006W	NC_001134.8	227075	227156	+	82	2	2	1	1	0	1	1	0	0
YBL004W	NC_001134.8	227636	235117	+	7482	184	129	150	447	287	256	379	450	492
YBL003C	NC_001134.8	235394	235792	-	399	938	668	701	881	663	379	381	508	520
YBL002W	NC_001134.8	236492	236887	+	396	502	295	283	917	563	545	403	464	452
YBL001C	NC_001134.8	237153	237467	-	315	429	360	448	312	292	123	139	165	183
YBR001C	NC_001134.8	238941	241283	-	2343	209	149	210	236	171	180	243	299	261
YBR002C	NC_001134.8	241708	242568	-	861	58	31	49	104	113	84	69	83	66
YBR003W	NC_001134.8	242809	244230	+	1422	106	74	82	208	141	125	146	153	147
YBR004C	NC_001134.8	244366	245667	-	1302	41	31	56	89	68	56	88	83	90
YBR005W	NC_001134.8	245906	246547	+	642	48	27	57	34	43	20	33	36	31
YBR006W	NC_001134.8	247010	248503	+	1494	197	128	163	379	236	221	401	433	388
YBR007C	NC_001134.8	248806	251016	-	2211	162	100	105	108	154	33	179	183	209
YBR008C	NC_001134.8	252563	254209	-	1647	88	60	79	193	167	182	118	116	118
YBR009C	NC_001134.8	255373	255684	-	312	1442	880	821	1159	790	437	234	347	372
YBR010W	NC_001134.8	256331	256741	+	411	1373	895	1044	1294	932	506	453	527	634
YBR011C	NC_001134.8	257112	257975	-	864	993	543	601	1282	967	917	594	678	628
YBR012W-B	NC_001134.8	259869	265140	+	5272	0	0	0	0	0	0	0	0	0
YBR012W-A	NC_001134.8	259869	261191	+	1323	0	0	0	0	0	0	0	0	0
YBR013C	NC_001134.8	265492	265881	-	390	12	8	6	52	28	10	23	21	23
YNCB0007W	NC_001134.8	266378	266450	+	73	3	2	1	1	1	2	0	0	0
YBR014C	NC_001134.8	266725	267336	-	612	126	65	83	137	140	50	53	54	75
YBR015C	NC_001134.8	267710	269503	-	1794	188	120	140	248	184	153	182	195	208
YBR016W	NC_001134.8	270247	270633	+	387	171	88	116	57	87	48	54	56	41
YBR017C	NC_001134.8	270947	273703	-	2757	83	55	52	141	92	107	121	102	113
YBR018C	NC_001134.8	274427	275527	-	1101	5	9	7	7	7	2	9	22	14
YBR019C	NC_001134.8	276253	278352	-	2100	2	4	5	4	3	1	1	2	0
YNCB0008W	NC_001134.8	276805	280645	+	3841	6	2	7	2	4	1	12	10	4
YBR020W	NC_001134.8	279021	280607	+	1587	0	0	0	0	0	0	0	0	0
YBR021W	NC_001134.8	281443	283344	+	1902	49	19	25	97	75	52	89	117	74
YBR022W	NC_001134.8	283738	284271	+	534	43	21	29	118	102	42	40	64	49
YBR023C	NC_001134.8	284428	287925	-	3498	101	68	70	242	120	175	143	160	153
YBR024W	NC_001134.8	289445	290350	+	906	333	250	306	207	235	88	101	159	180
YBR025C	NC_001134.8	290681	291865	-	1185	630	471	496	1338	808	666	502	539	492
YBR026C	NC_001134.8	292877	294019	-	1143	135	70	77	274	195	116	149	219	208
YBR027C	NC_001134.8	294024	294356	-	333	11	13	15	10	26	3	9	10	5
YBR028C	NC_001134.8	294425	296002	-	1578	60	24	33	127	129	61	75	78	86
YBR029C	NC_001134.8	296369	297742	-	1374	51	35	33	168	118	85	133	135	120
YBR030W	NC_001134.8	298292	299950	+	1659	16	21	11	58	49	31	58	67	42
YBR031W	NC_001134.8	300166	301254	+	1089	252	159	173	313	240	197	126	148	129
YBR032W	NC_001134.8	301519	301821	+	303	0	2	3	4	6	5	2	6	5
YBR033W	NC_001134.8	301944	304703	+	2760	102	84	66	167	149	77	66	60	69
YBR034C	NC_001134.8	304930	305976	-	1047	52	44	47	165	87	77	47	65	81
YBR035C	NC_001134.8	306269	306955	-	687	288	260	272	341	274	201	188	286	251
YNCB0009C	NC_001134.8	307185	307345	-	161	141	139	143	212	164	311	189	198	140
YNCB0010W	NC_001134.8	307587	308887	+	1301	376	301	371	373	411	438	364	399	411
YBR036C	NC_001134.8	309081	310313	-	1233	196	125	157	347	246	278	248	283	241
YBR037C	NC_001134.8	310565	311452	-	888	61	59	76	82	61	46	46	55	55
YBR038W	NC_001134.8	311898	314789	+	2892	73	37	36	32	28	27	12	19	19
YBR039W	NC_001134.8	315575	316510	+	936	1161	885	1072	2141	1689	881	806	895	981
YBR040W	NC_001134.8	316968	317864	+	897	7	3	8	12	19	3	0	4	7
YBR041W	NC_001134.8	318266	320275	+	2010	86	54	54	172	118	86	121	148	132
YBR042C	NC_001134.8	320416	321609	-	1194	37	22	20	80	53	49	64	64	62
YBR043C	NC_001134.8	321876	323945	-	2070	60	46	57	86	79	60	141	193	190
YBR044C	NC_001134.8	324341	326059	-	1719	180	87	110	218	196	90	114	137	153
YNCB0011C	NC_001134.8	326792	326865	-	74	1	1	1	0	0	1	0	0	4
YBR045C	NC_001134.8	328173	330092	-	1920	36	27	29	41	48	10	35	45	55
YBR046C	NC_001134.8	330507	331511	-	1005	148	88	103	256	169	104	160	181	184
YBR047W	NC_001134.8	331833	332360	+	528	138	120	106	367	343	102	128	162	146
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	149	79	103	324	154	172	83	96	88
YBR049C	NC_001134.8	334386	336818	-	2433	278	201	236	232	207	77	130	167	159
YBR050C	NC_001134.8	337183	338199	-	1017	354	259	283	53	88	16	40	54	37
YBR052C	NC_001134.8	338720	339352	-	633	651	533	604	452	438	224	122	158	215
YBR053C	NC_001134.8	339675	340751	-	1077	177	133	122	268	193	166	239	279	261
YBR054W	NC_001134.8	343101	344135	+	1035	1214	754	847	6023	4674	2204	5562	6702	6135
YBR055C	NC_001134.8	344602	347301	-	2700	106	78	88	128	200	63	123	142	150
YNCB0012W	NC_001134.8	347603	347686	+	84	4	3	2	2	1	4	0	0	1
YBR056W	NC_001134.8	347879	349384	+	1506	461	367	438	384	286	209	236	328	332
YNCB0013W	NC_001134.8	350827	350898	+	72	1	3	0	2	0	0	0	1	0
YBR056W-A	NC_001134.8	351255	351455	+	201	13	9	20	80	54	65	17	20	23
YBR057C	NC_001134.8	352193	353293	-	1101	162	81	92	81	87	18	49	69	70
YBR058C	NC_001134.8	353672	356017	-	2346	95	57	43	147	114	77	139	151	135
YBR058C-A	NC_001134.8	356324	356566	-	243	114	70	81	134	140	35	54	81	96
YBR059C	NC_001134.8	356861	360187	-	3327	474	337	390	241	258	111	369	404	429
YBR060C	NC_001134.8	360652	362514	-	1863	76	44	39	98	100	30	41	49	70
YBR061C	NC_001134.8	364787	365719	-	933	37	18	10	63	52	28	28	48	37
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	59	49	58	77	99	34	51	67	67
YBR063C	NC_001134.8	366970	368184	-	1215	92	43	57	97	94	29	105	138	123
YBR065C	NC_001134.8	368584	369678	-	1095	71	47	59	121	73	38	114	138	150
YBR066C	NC_001134.8	370037	370699	-	663	22	20	19	36	57	12	13	33	27
